State,Year,Beer,Wine,Spirits
,1991,1.38,0.34,0.76
,1990,1.43,0.36,0.82
,1989,1.38,0.35,0.82
,1988,1.42,0.37,0.85
,1987,1.41,0.39,0.87
,1986,1.4,0.39,0.9
,1985,1.38,0.37,0.98
,1984,1.4,0.37,1.01
,1983,1.42,0.35,1.03
,1982,1.41,0.35,1.06
,1981,1.43,0.35,1.12
,1980,1.43,0.33,1.24
,1979,1.45,0.33,1.17
,1978,1.38,0.31,1.19
,1977,1.35,0.3,1.22
Indiana,2009,1.09,0.25,0.73
,2008,1.11,0.24,0.74
,2007,1.14,0.24,0.72
,2006,1.1,0.25,0.66
,2005,1.11,0.22,0.68
,2004,1.14,0.22,0.66
,2003,1.11,0.21,0.64
,2002,1.13,0.2,0.6
,2001,1.15,0.2,0.62
,2000,1.16,0.21,0.61
,1999,1.16,0.19,0.59
,1998,1.14,0.19,0.58
,1997,1.12,0.19,0.59
,1996,1.13,0.19,0.57
,1995,1.12,0.21,0.58
,1994,1.15,0.2,0.59
,1993,1.15,0.19,0.64
,1992,1.16,0.2,0.58
,1991,1.22,0.19,0.6
,1990,1.26,0.2,0.63
,1989,1.21,0.19,0.63
,1988,1.23,0.21,0.66
,1987,1.24,0.22,0.67
,1986,1.25,0.23,0.67
,1985,1.25,0.22,0.72
,1984,1.26,0.21,0.72
,1983,1.27,0.19,0.73
,1982,1.29,0.18,0.76
,1981,1.29,0.18,0.78
,1980,1.26,0.17,0.77
,1979,1.23,0.15,0.79
,1978,1.19,0.16,0.79
,1977,1.14,0.14,0.77
Iowa,2009,1.42,0.18,0.72
,2008,1.41,0.17,0.7
,2007,1.4,0.17,0.67
,2006,1.38,0.16,0.65
,2005,1.37,0.16,0.6
,2004,1.37,0.16,0.57
,2003,1.37,0.15,0.53
,2002,1.37,0.14,0.51
,2001,1.36,0.13,0.5
,2000,1.35,0.13,0.5
,1999,1.34,0.13,0.48
,1998,1.31,0.12,0.46
,1997,1.28,0.12,0.45
,1996,1.28,0.12,0.45
,1995,1.26,0.11,0.44
,1994,1.3,0.1,0.44
,1993,1.28,0.11,0.48
,1992,1.31,0.13,0.46
,1991,1.32,0.16,0.52
,1990,1.34,0.18,0.54
,1989,1.26,0.18,0.5
,1988,1.28,0.2,0.52
,1987,1.3,0.21,0.57
,1986,1.32,0.19,0.53
,1985,1.31,0.14,0.57
,1984,1.36,0.12,0.61
,1983,1.38,0.13,0.64
,1982,1.39,0.13,0.65
,1981,1.44,0.13,0.69
,1980,1.41,0.13,0.71
,1979,1.4,0.11,0.71
,1978,1.38,0.11,0.74
,1977,1.33,0.1,0.74
Kansas,2009,1.18,0.14,0.67
,2008,1.21,0.14,0.65
,2007,1.17,0.15,0.64
,2006,1.14,0.18,0.61
,2005,1.14,0.18,0.57
,2004,1.13,0.16,0.56
,2003,1.15,0.17,0.56
,2002,1.19,0.15,0.54
,2001,1.12,0.15,0.53
,2000,1.15,0.15,0.52
,1999,1.14,0.16,0.54
,1998,1.09,0.15,0.54
,1997,1.09,0.14,0.48
,1996,1.05,0.14,0.49
,1995,1.08,0.15,0.5
,1994,1.12,0.13,0.48
,1993,1.09,0.14,0.52
,1992,1.09,0.14,0.55
,1991,1.15,0.14,0.57
,1990,1.13,0.13,0.53
,1989,1.1,0.13,0.54
,1988,1.11,0.21,0.56
,1987,1.12,0.16,0.56
,1986,1.12,0.17,0.59
,1985,1.17,0.15,0.64
,1984,1.18,0.14,0.63
,1983,1.2,0.13,0.64
,1982,1.22,0.13,0.67
,1981,1.23,0.12,0.7
,1980,1.23,0.11,0.62
,1979,1.17,0.11,0.73
,1978,1.14,0.12,0.64
,1977,1.13,0.1,0.65
Kentucky,2009,1.11,0.18,0.65
,2008,1.03,0.18,0.65
,2007,1.05,0.17,0.63
,2006,1.04,0.17,0.62
,2005,1.05,0.14,0.61
,2004,1.07,0.17,0.57
,2003,1.03,0.15,0.56
,2002,1.08,0.14,0.54
,2001,1.04,0.12,0.46
,2000,1.07,0.14,0.54
,1999,1.07,0.13,0.54
,1998,1.07,0.13,0.53
,1997,1.06,0.13,0.53
,1996,1.05,0.13,0.54
,1995,1.05,0.12,0.54
,1994,1.08,0.11,0.55
,1993,1.08,0.1,0.55
,1992,1.04,0.11,0.56
,1991,1.11,0.11,0.56
,1990,1.12,0.11,0.6
,1989,1.08,0.12,0.56
,1988,1.08,0.12,0.59
,1987,1.03,0.14,0.59
,1986,1.09,0.13,0.62
,1985,1.07,0.13,0.66
,1984,1.05,0.12,0.68
,1983,1.13,0.12,0.69
,1982,1.14,0.12,0.73
,1981,1.13,0.11,0.75
,1980,1.08,0.1,0.74
,1979,1.1,0.09,0.77
,1978,1.07,0.09,0.77
,1977,1.19,0.09,0.75
Louisiana,2009,1.5,0.28,0.85
,2008,1.56,0.27,0.83
,2007,1.57,0.28,0.81
,2006,1.61,0.25,0.8
,2005,1.47,0.24,0.72
,2004,1.39,0.26,0.73
,2003,1.42,0.25,0.73
,2002,1.33,0.24,0.71
,2001,1.49,0.23,0.69
,2000,1.5,0.22,0.7
,1999,1.54,0.24,0.69
,1998,1.5,0.23,0.7
,1997,1.5,0.23,0.71
,1996,1.5,0.22,0.72
,1995,1.55,0.21,0.73
,1994,1.45,0.21,0.73
,1993,1.53,0.21,0.72
,1992,1.55,0.22,0.74
,1991,1.52,0.21,0.73
,1990,1.53,0.23,0.78
,1989,1.43,0.23,0.72
,1988,1.44,0.24,0.69
,1987,1.36,0.24,0.75
,1986,1.39,0.26,0.78
,1985,1.35,0.27,0.86
,1984,1.4,0.29,0.94
,1983,1.43,0.3,1.02
,1982,1.49,0.3,1
,1981,1.48,0.27,1.02
,1980,1.41,0.27,1.04
,1979,1.36,0.26,1.08
,1978,1.35,0.25,1.07
,1977,1.3,0.25,1.03
Maine,2009,1.24,0.42,0.83
,2008,1.26,0.42,0.82
,2007,1.27,0.43,0.8
,2006,1.26,0.42,0.79
,2005,1.24,0.41,0.77
,2004,1.24,0.41,0.76
,2003,1.24,0.39,0.73
,2002,1.23,0.39,0.69
,2001,1.2,0.37,0.69
,2000,1.17,0.39,0.73
,1999,1.16,0.37,0.73
,1998,1.14,0.34,0.68
,1997,1.15,0.33,0.71
,1996,1.17,0.33,0.71
,1995,1.17,0.29,0.72
,1994,1.13,0.27,0.77
,1993,1.15,0.29,0.79
,1992,1.16,0.29,0.78
,1991,1.18,0.3,0.77
,1990,1.21,0.31,0.82
,1989,1.25,0.34,0.85
,1988,1.28,0.36,0.91
,1987,1.26,0.38,0.91
,1986,1.28,0.36,0.91
,1985,1.29,0.33,0.94
,1984,1.25,0.31,1.01
,1983,1.32,0.29,1.03
,1982,1.3,0.3,1.02
,1981,1.24,0.28,1.05
,1980,1.32,0.29,1.06
,1979,1.3,0.27,1.08
,1978,1.31,0.27,1.05
,1977,1.37,0.23,1.04
Maryland,2009,0.97,0.37,0.87
,2008,0.99,0.36,0.85
,2007,1.01,0.36,0.84
,2006,1.02,0.34,0.83
,2005,0.93,0.32,0.85
,2004,1.03,0.33,0.79
,2003,1.02,0.32,0.77
,2002,1.05,0.31,0.75
,2001,1.06,0.3,0.75
,2000,1.04,0.3,0.75
,1999,1.04,0.3,0.74
,1998,1.05,0.3,0.73
,1997,1.05,0.29,0.73
,1996,1.05,0.29,0.74
,1995,1.06,0.28,0.74
,1994,1.09,0.28,0.78
,1993,1.1,0.28,0.8
,1992,1.11,0.29,0.86
,1991,1.15,0.3,0.89
,1990,1.22,0.33,0.96
,1989,1.22,0.34,0.98
,1988,1.26,0.36,1.01
,1987,1.29,0.38,1.07
,1986,1.29,0.39,1.08
,1985,1.31,0.36,1.14
,1984,1.31,0.36,1.17
,1983,1.34,0.35,1.2
,1982,1.27,0.32,1.17
,1981,1.39,0.34,1.33
,1980,1.42,0.33,1.35
,1979,1.43,0.31,1.39
,1978,1.41,0.31,1.38
,1977,1.37,0.3,1.39
Massachusetts,2009,1.02,0.61,0.84
,2008,1.07,0.62,0.84
,2007,1.01,0.61,0.86
,2006,1.1,0.61,0.84
,2005,1.07,0.59,0.85
,2004,1.1,0.58,0.84
,2003,1.1,0.56,0.82
,2002,1.13,0.54,0.8
,2001,1.12,0.52,0.78
,2000,1.16,0.51,0.87
,1999,1.09,0.51,0.79
,1998,1.14,0.5,0.75
,1997,1.13,0.49,0.76
,1996,1.11,0.48,0.77
,1995,1.13,0.44,0.78
,1994,1.14,0.44,0.8
,1993,1.14,0.44,0.8
,1992,1.12,0.44,0.82
,1991,1.19,0.43,0.87
,1990,1.22,0.45,0.97
,1989,1.26,0.47,1.02
,1988,1.29,0.5,1.07
,1987,1.29,0.51,1.12
,1986,1.31,0.53,1.12
,1985,1.3,0.51,1.21
,1984,1.3,0.51,1.24
,1983,1.36,0.5,1.21
,1982,1.35,0.49,1.22
,1981,1.44,0.49,1.24
,1980,1.47,0.45,1.27
,1979,1.39,0.42,1.23
,1978,1.37,0.4,1.25
,1977,1.34,0.37,1.24
Michigan,2009,1.1,0.31,0.8
,2008,1.12,0.3,0.8
,2007,1.12,0.3,0.78
,2006,1.12,0.29,0.76
,2005,1.14,0.28,0.75
,2004,1.15,0.28,0.72
,2003,1.17,0.26,0.7
,2002,1.16,0.23,0.68
,2001,1.19,0.24,0.68
,2000,1.19,0.24,0.69
,1999,1.19,0.24,0.68
,1998,1.2,0.22,0.69
,1997,1.17,0.22,0.66
,1996,1.2,0.22,0.67
,1995,1.2,0.19,0.66
,1994,1.23,0.2,0.67
,1993,1.25,0.2,0.72
,1992,1.26,0.22,0.74
,1991,1.3,0.22,0.74
,1990,1.33,0.28,0.8
,1989,1.29,0.3,0.8
,1988,1.31,0.32,0.84
,1987,1.32,0.33,0.85
,1986,1.33,0.33,0.9
,1985,1.3,0.32,0.95
,1984,1.32,0.31,0.97
,1983,1.35,0.28,0.97
,1982,1.35,0.39,0.98
,1981,1.34,0.29,1
,1980,1.34,0.28,1.03
,1979,1.37,0.25,1.03
,1978,1.43,0.25,1.05
,1977,1.45,0.24,1.02
Minnesota,2009,1.19,0.37,1.04
,2008,1.21,0.37,1.03
,2007,1.16,0.36,0.97
,2006,1.15,0.32,0.93
,2005,1.18,0.32,0.96
,2004,1.23,0.31,0.93
,2003,1.21,0.29,0.9
,2002,1.25,0.28,0.87
,2001,1.25,0.26,0.87
,2000,1.24,0.26,0.87
,1999,1.23,0.27,0.86
,1998,1.16,0.27,0.84
,1997,1.23,0.27,0.83
,1996,1.25,0.26,0.83
,1995,1.24,0.26,0.83
,1994,1.27,0.25,0.83
,1993,1.24,0.24,0.84
,1992,1.25,0.25,0.85
,1991,1.3,0.24,0.81
,1990,1.32,0.27,0.96
,1989,1.28,0.27,0.88
,1988,1.3,0.3,0.89
,1987,1.31,0.32,0.94
,1986,1.3,0.33,0.92
,1985,1.31,0.31,1.06
,1984,1.34,0.28,1.07
,1983,1.37,0.27,1.1
,1982,1.36,0.27,1.11
,1981,1.39,0.27,1.18
,1980,1.4,0.26,1.2
,1979,1.35,0.24,1.16
,1978,1.31,0.23,1.15
,1977,1.3,0.2,1.15
Mississippi,2009,1.41,0.11,0.71
,2008,1.45,0.12,0.7
,2007,1.46,0.12,0.68
,2006,1.46,0.12,0.67
,2005,1.4,0.12,0.65
,2004,1.39,0.12,0.63
,2003,1.4,0.12,0.62
,2002,1.4,0.12,0.61
,2001,1.39,0.11,0.6
,2000,1.44,0.09,0.6
,1999,1.45,0.1,0.61
,1998,1.4,0.09,0.59
,1997,1.37,0.09,0.61
,1996,1.37,0.09,0.62
,1995,1.36,0.09,0.61
,1994,1.28,0.08,0.63
,1993,1.37,0.1,0.63
,1992,1.35,0.09,0.63
,1991,1.32,0.09,0.64
,1990,1.34,0.09,0.65
,1989,1.26,0.09,0.65
,1988,1.28,0.09,0.66
,1987,1.26,0.09,0.66
,1986,1.26,0.1,0.68
,1985,1.21,0.1,0.73
,1984,1.19,0.11,0.77
,1983,1.19,0.11,0.79
,1982,1.19,0.11,0.82
,1981,1.19,0.11,0.84
,1980,1.13,0.1,0.86
,1979,1.15,0.1,0.84
,1978,1.16,0.1,0.91
,1977,1.08,0.11,0.86
Missouri,2009,1.3,0.3,0.83
,2008,1.32,0.3,0.8
,2007,1.33,0.3,0.78
,2006,1.33,0.28,0.76
,2005,1.3,0.27,0.72
,2004,1.32,0.26,0.71
,2003,1.33,0.26,0.69
,2002,1.47,0.25,0.67
,2001,1.34,0.23,0.67
,2000,1.35,0.23,0.67
,1999,1.35,0.23,0.66
,1998,1.33,0.23,0.63
,1997,1.3,0.22,0.63
,1996,1.31,0.22,0.57
,1995,1.31,0.2,0.62
,1994,1.36,0.19,0.66
,1993,1.33,0.2,0.67
,1992,1.34,0.21,0.69
,1991,1.35,0.22,0.64
,1990,1.37,0.22,0.7
,1989,1.33,0.22,0.69
,1988,1.33,0.25,0.69
,1987,1.36,0.27,0.72
,1986,1.36,0.28,0.72
,1985,1.33,0.26,0.76
,1984,1.34,0.25,0.68
,1983,1.37,0.22,0.78
,1982,1.38,0.21,0.79
,1981,1.4,0.21,0.83
,1980,1.39,0.2,0.84
,1979,1.37,0.2,0.86
,1978,1.31,0.2,0.89
,1977,1.23,0.19,0.83
Montana,2009,1.66,0.45,0.88
,2008,1.68,0.44,0.87
,2007,1.68,0.43,0.86
,2006,1.64,0.41,0.83
,2005,1.53,0.35,0.78
,2004,1.54,0.34,0.74
,2003,1.55,0.33,0.72
,2002,1.61,0.33,0.7
,2001,1.57,0.3,0.68
