Foursquare,Location based mobile social network,2009,20000000,Open,817
Friendica,"Distributed, federated, privacy aware, open source, general",July 2010,,Open,354946
Friends Reunited,"UK based. School, college, work, sport and streets",July 2000,19000000,Open to people 13 and older,29239
Friendster,General. Popular in Southeast Asia. No longer popular in the western world,2002,90000000,Open to people 16 and older.,12167
Fuelmyblog,Blogging community,July 2007,50000,Open,85547
Gaia Online,"Anime and games. Popular in USA, Canada and Europe. Moderately popular around Asia.",,23523663,Open to people 13 and older,6277
GamerDNA,Computer and video games,21 September 2006,310000,Open,59730
Gapyear.com,Travel social network,July 1998,,Open,74763
Gather.com,"Article, picture, and video sharing, as well as group discussions",25 Feb 2005,465000,Open,3062
Gays.com,"Social network for LGBT community, guide for LGBT bars, restaurants, clubs, shopping",16 May 2008,100000,"Open, global",224302
Geni.com,"Families, genealogy",16 January 2007,15000000,Open,5958
Gentlemint,Community for sharing and discussing all things manly,25 November 2011,,Open,100196
GetGlue,Social network for entertainment.,28 October 2008,2000000,Open,3735
GirlsAskGuys,Community where people help each other by sharing their experiences & opinions.,June 2007,450000,Open,4798
Gogoyoko,Fair play in music - social networking site for musicians and music lovers.,1 Oct 2009,,Invite only while in beta,145552
Goodreads,"Library cataloging, book lovers.",December 2006,13000000,Open,327
Goodwizz,"Social network with matchmaking and personality games to find new contacts. Global, based in France.",October 2010,110000,Open,597008
Google+,General,28 June 2011,1600000000,Open to people 13 and older ,NA
GovLoop,For people in and around government.,May 2008,,,138576
Grono.net,Poland,,2000000,Open,395036
Habbo,General for teens. Over 31 communities worldwide. Chat room and user profiles.,August 2000,268000000,Open to people 13 and older,15255
hi5,"General. Popular in Nepal, Mongolia, Thailand, Romania, Jamaica, Central Africa, Portugal and Latin America. Not very popular in the USA.",2003,80000000,Open to people 13 and older.,902
Hospitality Club,Hospitality,,328629,Open,99562
Hotlist,"Geo-social aggregator rooted in the concept of knowing where users' friends are, were, and will be.",,80000,Open,155811
HR.com,Social networking site for human resources professionals.,1999,194000,Open,79591
Hub Culture,Global influencers focused on worth creation.,November 2002,20000,Invite-only,152756
Ibibo,Talent based social networking site that allows to promote one's self and also discover new talent. Most popular in India.,,3500000,Open,1143
Identi.ca,Twitter-like service popular with hackers and software freedom advocates.,,395695,Open,7290
Indaba Music,"Online collaboration for musicians, remix contests, and networking.",,350000,"Open, global",45039
Influenster,Online product sampling and review platform.,2010,850000,"Open, global",8612
Instagram,A photo and video sharing site.,October 2010,300000000,Open to anyone 13 or older,41
IRC-Galleria,Finland,,505000,Open to Finnish speaking people 12 and older,36982
italki.com,Language learning social network. 100+ languages.,,500000,"Open, global",18956
Itsmy,"Mobile community worldwide, blogging, friends, personal TV-shows",,2500000,,770100
iWiW,Hungary,14 April 2002,4000000,Invite-only,3831
Jaiku,General. Microblogging. Owned by Google,February 2006,,Open to people 13 and older,62910
Jiepang,Location-based mobile social network. In Chinese language,2010,3000000,Open,14790
Kaixin001,General. In Simplified Chinese; caters for mainland China users,,,Open to the general public,284
Kiwibox,General.,1999,2400000,Open to people 13 and older,104563
Lafango,Talent-focused media sharing site,,,"Open, global",161778
LaiBhaari,Marathi social networking,2010,250000,Open,952782
Last.fm,Music,2002,30000000,Open,772
LibraryThing,Book lovers,29 August 2005,1300000,Open to people 13 and older,10800
Lifeknot,"Shared interests, hobbies",,,Open to people 18 and older,1071686
LinkedIn,Business and professional networking,May 2003,200000000,Open to people 18 and older,12
LinkExpats,Social networking website for expatriates. 100+ countries.,,,"Open, global",800451
Listography,Lists. Autobiography,,,Open,92525
LiveJournal,Blogging. Popular in Russia and among the Russian-speaking diaspora abroad.,15 April 1999,17564977,Open (OpenID),115
Livemocha,Online language learning,,5000000,Open,4100
Makeoutclub,General,9 August 1999,,Open,756300
MEETin,General,,,Open,318979
Meetup (website),General. Used to plan offline meetings for people interested in various activities,,,Open to people 18 and older,481
Meettheboss,"Business and finance community, worldwide.",,,Open,315513
MillatFacebook,"General, created in response to Facebook ",May 2010,461200,Open,236663
mixi,Japan,25 October 2000,24323160,Open,232
MocoSpace,"Mobile community, worldwide",2005,3000000,Open to people 14 and older,9882
MOG,Music,,,Open to people 14 and older,13955
MouthShut.com,"Social network, social media, consumer reviews",,,Open,3340
Mubi,Auteur cinema,,200000,Open,18225
MyHeritage,Family-oriented social network service,,30000000,Open,3756
MyLife,"Locating friends and family, keeping in touch (formerly Reunion.com)",,51000000,Open,1765
My Opera,"Blogging, mobile blogging, photo sharing, connecting with friends, Opera Link and Opera Unite. Global",,7300000,Closed,NA
Myspace,General,August 2003,30000000,Open to ages 13 and older.,161
Nasza-klasa.pl,"School, college and friends. Popular in Poland",,11000000,Open,75145
Netlog,"General. Popular in Europe, Turkey, the Arab world and Canada's Québec province. Formerly known as Facebox and Redbox.",,95000000,Open to people 13 and older,545
Nexopia,Canada,,1400000,Open to people 13 and older ,25241
NGO Post,"Non-profit news sharing and networking, mainly in India",,15000,Open,42076
Ning,Users create their own social websites and social networks,2005 (Networks 2007),,Open to people 13 and older,378
Odnoklassniki,Connect with old classmates. Popular in Russia and former Soviet republics,,45000000,Open,65
Open Diary,"First online blogging community, founded in 1998",1998,5000000,Open to people 13 and older,28134
Orkut,General. Owned by Google Inc. Popular in India and Brazil.,22 January 2004,100000000,Closed,319
OUTeverywhere,Gay/LGBTQ community,,,Open,445440
PatientsLikeMe,"Online community for patients with life-changing illnesses to find other patients like them, share their data with others, and learn more about their condition to improve their outcome.",2006,109587,Open to people 13 years and up,69514
Partyflock,Dutch virtual community for people interested in house music and other electronic dance music.,10 November 2001,321125,Open to people 18 years and up,16828
Pingsta,Collaborative platform for the world's internetwork experts,,,"Invite-only, only Internet experts",2533640
Pinterest,Online pinboard for organizing and sharing things you love,2011,,Open,38
Plaxo,Aggregator,,50000000,Open,5310
Playfire,Computer and video games,,,Open to people 13 and older,38259
Playlist.com,"General, music",,,Open to people over 13,8026
Plurk,"Micro-blogging, RSS, updates. Very popular in Taiwan",,,Open,1991
Poolwo,Social networking site from India,7 January 2014,12350,Open,764227
Qapacity,A business-oriented social networking site and a business directory,,,Closed,20640
Quechup,"General, friendship, dating",2007,,Open to those over 16,82914
Qzone,General. In Simplified Chinese; caters for mainland China users,,480000000,Open to the general public,NA
Raptr,Video games,,,Open,25664
Ravelry,Knitting and crochet,,3000000,Open,2334
Renren,Significant site in China. Was known as 校内 (Xiaonei) until August 2009.,,160000000,Open,95
ReverbNation.com,Social network for musician and bands,,500000,Open to people 16 and older,1806
Ryze,Business,,500000,Closed,71324
ScienceStage,Science-oriented multimedia platform and network for scientists,,,Open,61668
Sgrouples,"General, with focus on privacy rights",16 May 2012,,Open,258091
ShareTheMusic,Music community. Sharing and listening to music for free and legally,,,Open,612429
Shelfari,Books,11 October 2006,,Open,18152
Sina Weibo,Social microblogging site in mainland China.,14 August 2009,300000000,Open,28
Skoob,Collaborative social network for Brazilian readers,2009,420000,Open,28449
Skyrock,Social network in French-speaking world,,22000000,Open,710
Smartican,Open social networking portal,31 January 2013,260000,Open,26458
SocialVibe,Social network for charity,,435000,Open,101364
Sonico.com,General. Popular in Latin America and Spanish and Portuguese speaking regions.,,50000000,Open to people 13 and older,2676
SoundCloud,Repository of original music pieces and networking.,,10000000,Open,299
Spaces,Russian social network targeted to mobile phone users,,,Open,9953
Spot.IM,A service for webmasters to add social networking functionality to their websites,2012,250000,Open,68016
Spring.me,Social network for meeting people,September 2013,,Open to people 13 and older,4967
Stage 32,"US-based social network and educational site for creative professionals in film, television and theater",February 2012,175000,,35382
Stickam,Live video streaming and chat.,,9000000,Closed,9201
StudiVZ,"University students, mostly in the German-speaking countries. School students and those out of education sign up via its partner sites schülerVZ and meinVZ.",,17000000,Open,7080
Students Circle Network,"A social network connecting students, teachers and institutions to course resources, study groups and learning spaces.",December 2010,,Open,345110
StumbleUpon,Stumble through websites that match users' selected interests,,20000000,Open,146
Tagged,General.,October 2004,100000000,Open,288
Talkbiznow,Business networking,,,Open,136346
Taltopia,Online artistic community,,,Open,281501
Taringa!,General (primarily Argentina),,11000000,Open to people 13 and older,214
TeachStreet,Education / learning / teaching - more than 400 subjects,,,Open,422704
TermWiki,Learning / languages / translation - 1.2 million terms in more than 1300 subjects,May 2010,,Open,22997
The Sphere,A private online social luxury network with exclusive personalized services,December 2008,1300,Invite-only,1115305
TravBuddy.com,Travel,2005,1588000,Open to people 18 and older,21523
Travellerspoint,Travel,2002,310000,Open,15275
Tsu,General,2008,,Open,5230
tribe.net,General,,,Open,8081
Trombi.com,French subsidiary of Classmates.com,,4400000,,16227
Tuenti,Spanish-based university and high school social network.,,12000000,Open,16484
Tumblr,Microblogging platform and social networking website.,February 2007,226950000,Open,41
Twitter,"General. Micro-blogging, RSS, updates",15 July 2006,645750000,Open to all ages ,8
Tylted,Mobile social game network,2007,3000000,Open to people 14 and older,737508
Uplike,General,2011,1050039,Open,288
VK,"General, including music upload, listening and search. Popular in Russia and former Soviet republics.",September 2006,249409900,Open,38
Vampirefreaks.com,Gothic and industrial subculture,1999,1931049,Open to users 13 and over,21052
Viadeo,"Global social networking and campus networking available in English, French, German, Spanish, Italian and Portuguese",,35000000,Open,435
Virb,"Social network that focuses heavily on artists, including musicians and photographers",2007,,Open,33371
Vox,Blogging,,,Open,56558
Wattpad,For readers and authors to interact and e-book sharing,,,Open,7036
WAYN,Travel and lifestyle,May 2003,10000000,Open to people 18 and older,1367
WeeWorld,Teenagers - 9 to 17,,30000000,Open to ages 10 and older.,18317
We Heart It,"Image-based social network focused on inspiration, expression and creativity",2008,20000000,Open,899
Wellwer,"Community without borders, where sharing is everything.",September 2011,,Open to people 13 years and older,370755
Wepolls.com,Social polling network,,,Open,1204376
Wer-kennt-wen,General,,,General,2147
weRead,Books,June 2007,4000000,Open,305720
Wiser.org,Online community space for the social justice and environmental movement,April 2007,71600,Open to people 16 and older,239901
Wooxie,Blogging and micro-blogging,,,Open,111538
WriteAPrisoner.com,"Site networking inmates, friends, family",September 2000,66000,Open to people 18 years and older,228915
Xanga,"Blogs and ""metro"" areas",1998,27000000,Open,3943
XING,"Business (primarily Europe (Germany, Austria, Switzerland))",,11100000,Open,270
Xt3,"Catholic social networking, created for World Youth Day 2008",,,Open,712292
Yammer,Social networking for office colleagues,2008,,Must have company email,3622
"Yelp, Inc.",Local business review and talk,,,Open,186
Yookos,"General: photos, videos, blogs, games.",,,Open,53498
Zoo.gr,Greek web meeting point,2004,890000,Open,34577
Zooppa,Online community for creative talent (host of brand sponsored advertising contests),,60000,Open to people 14 and older,36373
